,state_name2
35501,Haiti
35567,Dominican Republic
35633,Jamaica
35677,Trinidad and Tobago
35723,Barbados
35968,Mexico
36056,Guatemala
36122,Honduras
36188,El Salvador
36254,Nicaragua
36320,Costa Rica
36386,Panama
36452,Colombia
36518,Venezuela
36642,Ecuador
36708,Peru
36774,Brazil
36840,Bolivia
36906,Paraguay
36972,Chile
37038,Argentina
37104,Uruguay
89902,Canada
89966,United Kingdom
90030,Netherlands
90094,Belgium
90158,Luxembourg
90222,France
90318,Portugal
90405,German Federal Republic
90484,Italy
90548,Greece
90610,Norway
90674,Denmark
90738,Iceland
90802,Turkey
119628,Philippines
119752,Australia
119814,New Zealand
120020,Japan
120268,South Korea
120437,Pakistan
120456,Thailand
121636,Taiwan
121712,Iran
124126,Liberia
